player_name,position,season,fpts_pg,fpts_season,vorp_pg,vorp_season,replacement_pg,est_games,adp,adp_round
George Pickens,WR,2022,7.1,71.0,-1.78,-17.8,8.88,10,121.1,11
James Cook,RB,2022,3.06,30.6,-3.38,-33.8,6.44,10,92.9,8
Greg Dulcich,TE,2022,5.85,58.5,0.75,7.5,5.1,10,156.8,14
Dameon Pierce,RB,2022,9.03,135.4,2.59,38.8,6.44,15,76.4,7
Tyler Allgeier,RB,2022,5.71,85.6,-0.73,-11.0,6.44,15,99.2,9
Jerome Ford,RB,2022,0.0,0.0,-6.44,-64.4,6.44,10,158.9,14
Chig Okonkwo,TE,2022,4.2,42.0,-0.9,-9.0,5.1,10,132.9,12
Romeo Doubs,WR,2022,4.7,47.0,-4.18,-41.8,8.88,10,128.1,11
Romeo Doubs,WR,2022,4.7,47.0,-4.18,-41.8,8.88,10,148.0,13
Brock Purdy,QB,2022,15.4,154.0,0.0,0.0,15.4,10,155.8,13
Zamir White,RB,2022,0.4,4.0,-6.04,-60.4,6.44,10,133.5,12
Skyy Moore,WR,2022,1.01,10.1,-7.87,-78.7,8.88,10,121.7,11
Kenny Pickett,QB,2022,11.8,177.0,-3.6,-54.0,15.4,15,160.2,14
Wan'Dale Robinson,WR,2022,4.11,41.1,-4.77,-47.7,8.88,10,163.5,14
Breece Hall,RB,2022,13.42,134.2,6.98,69.8,6.44,10,43.6,4
Matthew Stafford,QB,2023,14.76,221.4,-1.08,-16.2,15.84,15,155.1,13
Russell Wilson,QB,2023,15.84,237.6,0.0,0.0,15.84,15,128.1,11
Kirk Cousins,QB,2023,20.56,308.4,4.72,70.8,15.84,15,90.6,8
Adam Thielen,WR,2023,8.28,124.2,-0.14,-2.1,8.42,15,125.5,11
