player_id,player_name,position,season,metric,mean,std,p25,median,p75
00-0030565,Geno Smith,QB,2023,passing_tds,1.3333,0.8997,1.0,1.0,2.0
00-0030565,Geno Smith,QB,2024,attempts,34.0,10.0,28.0,31.0,40.0
00-0030565,Geno Smith,QB,2024,passing_yards,254.1176,71.4571,207.0,233.0,312.0
00-0030565,Geno Smith,QB,2024,passing_tds,1.2353,1.1472,1.0,1.0,1.0
00-0030565,Geno Smith,QB,2025,attempts,29.8667,9.1329,23.0,28.0,37.5
00-0030565,Geno Smith,QB,2025,passing_yards,201.6667,79.4595,154.0,180.0,261.0
00-0030565,Geno Smith,QB,2025,passing_tds,1.2667,1.1629,0.5,1.0,2.0
00-0031237,Teddy Bridgewater,QB,2020,attempts,32.8,7.5423,28.0,34.0,36.5
00-0031237,Teddy Bridgewater,QB,2020,passing_yards,248.8667,60.8697,206.5,258.0,279.5
00-0031237,Teddy Bridgewater,QB,2020,passing_tds,1.0,0.8452,0.0,1.0,2.0
00-0031237,Teddy Bridgewater,QB,2021,attempts,30.4286,9.1711,25.0,30.5,36.0
00-0031237,Teddy Bridgewater,QB,2021,passing_yards,218.0,80.2132,181.0,230.5,262.25
00-0031237,Teddy Bridgewater,QB,2021,passing_tds,1.2857,0.9139,1.0,1.0,2.0
00-0031237,Teddy Bridgewater,QB,2022,attempts,15.8,14.1669,2.0,19.0,23.0
00-0031237,Teddy Bridgewater,QB,2022,passing_yards,136.6,139.7437,0.0,161.0,193.0
00-0031237,Teddy Bridgewater,QB,2022,passing_tds,0.8,0.8367,0.0,1.0,1.0
00-0031280,Derek Carr,QB,2020,attempts,32.3125,10.2027,28.75,33.0,38.0
00-0031280,Derek Carr,QB,2020,passing_yards,256.4375,94.8669,202.5,279.5,321.0
00-0031280,Derek Carr,QB,2020,passing_tds,1.6875,1.0782,1.0,2.0,2.25
00-0031280,Derek Carr,QB,2021,attempts,36.8235,7.7236,34.0,36.0,39.0
00-0031280,Derek Carr,QB,2021,passing_yards,282.5882,77.4726,215.0,261.0,341.0
00-0031280,Derek Carr,QB,2021,passing_tds,1.3529,0.7019,1.0,1.0,2.0
00-0031280,Derek Carr,QB,2022,attempts,33.4667,6.186,30.0,36.0,37.5
00-0031280,Derek Carr,QB,2022,passing_yards,234.8,60.8537,209.5,248.0,277.0
00-0031280,Derek Carr,QB,2022,passing_tds,1.6,0.9856,1.0,2.0,2.0
00-0031280,Derek Carr,QB,2023,attempts,32.2353,10.0594,26.0,32.0,37.0
00-0031280,Derek Carr,QB,2023,passing_yards,228.1176,80.6109,183.0,226.0,304.0
00-0031280,Derek Carr,QB,2023,passing_tds,1.4706,1.1789,1.0,1.0,2.0
00-0031280,Derek Carr,QB,2024,attempts,27.9,6.2441,25.0,27.5,31.0
00-0031280,Derek Carr,QB,2024,passing_yards,214.5,40.599,188.0,227.5,242.0
00-0031280,Derek Carr,QB,2024,passing_tds,1.5,0.8498,1.0,1.5,2.0
00-0031345,Jimmy Garoppolo,QB,2020,attempts,23.3333,8.2138,16.25,21.0,31.0
00-0031345,Jimmy Garoppolo,QB,2020,passing_yards,182.6667,95.475,95.75,195.0,265.75
00-0031345,Jimmy Garoppolo,QB,2020,passing_tds,1.1667,1.3292,0.0,1.0,2.0
00-0031345,Jimmy Garoppolo,QB,2021,attempts,29.4,6.9775,24.0,28.0,33.5
00-0031345,Jimmy Garoppolo,QB,2021,passing_yards,254.0,62.8797,185.5,257.0,315.0
00-0031345,Jimmy Garoppolo,QB,2021,passing_tds,1.3333,0.6172,1.0,1.0,2.0
00-0031345,Jimmy Garoppolo,QB,2022,attempts,28.0,9.859,26.0,29.0,33.5
00-0031345,Jimmy Garoppolo,QB,2022,passing_yards,221.5455,67.9078,216.5,235.0,246.5
00-0031345,Jimmy Garoppolo,QB,2022,passing_tds,1.4545,1.1282,1.0,1.0,2.0
00-0031345,Jimmy Garoppolo,QB,2023,attempts,24.1429,12.8767,21.5,24.0,28.5
00-0031345,Jimmy Garoppolo,QB,2023,passing_yards,172.1429,97.5985,144.0,185.0,204.0
00-0031345,Jimmy Garoppolo,QB,2023,passing_tds,1.0,0.8165,0.5,1.0,1.5
00-0031503,Jameis Winston,QB,2021,attempts,23.0,7.9162,20.5,22.0,26.5
00-0031503,Jameis Winston,QB,2021,passing_yards,167.1429,77.8769,119.5,148.0,224.0
00-0031503,Jameis Winston,QB,2021,passing_tds,2.0,1.8257,1.0,1.0,3.0
00-0031503,Jameis Winston,QB,2023,attempts,7.8333,10.3811,0.25,3.0,13.25
00-0031503,Jameis Winston,QB,2023,passing_yards,44.0,55.0454,0.0,20.5,86.0
00-0031503,Jameis Winston,QB,2023,passing_tds,0.3333,0.8165,0.0,0.0,0.0
00-0031503,Jameis Winston,QB,2024,attempts,26.9091,21.1398,6.0,27.0,43.5
00-0031503,Jameis Winston,QB,2024,passing_yards,192.8182,167.2763,41.5,212.0,284.5
00-0031503,Jameis Winston,QB,2024,passing_tds,1.1818,1.4013,0.0,1.0,2.0
00-0031800,Taylor Heinicke,QB,2021,attempts,30.875,8.9731,23.5,32.5,37.5
00-0031800,Taylor Heinicke,QB,2021,passing_yards,213.6875,66.648,167.0,217.5,259.0
00-0031800,Taylor Heinicke,QB,2021,passing_tds,1.25,0.9309,1.0,1.0,2.0
00-0031800,Taylor Heinicke,QB,2022,attempts,28.7778,6.3792,27.0,29.0,31.0
00-0031800,Taylor Heinicke,QB,2022,passing_yards,206.5556,52.0627,166.0,201.0,249.0
00-0031800,Taylor Heinicke,QB,2022,passing_tds,1.3333,0.866,1.0,2.0,2.0
00-0031800,Taylor Heinicke,QB,2023,attempts,27.2,9.2304,21.0,29.0,33.0
00-0031800,Taylor Heinicke,QB,2023,passing_yards,178.0,80.7217,163.0,175.0,229.0
00-0031800,Taylor Heinicke,QB,2023,passing_tds,1.0,0.0,1.0,1.0,1.0
00-0031800,Taylor Heinicke,QB,2024,attempts,1.25,0.9574,0.75,1.5,2.0
00-0031800,Taylor Heinicke,QB,2024,passing_yards,7.0,11.4891,0.0,2.0,9.0
00-0031800,Taylor Heinicke,QB,2024,passing_tds,0.0,0.0,0.0,0.0,0.0
00-0032156,Trevor Siemian,QB,2021,attempts,31.3333,9.5219,29.0,31.5,38.5
00-0032156,Trevor Siemian,QB,2021,passing_yards,192.3333,79.4221,160.0,188.5,240.25
00-0032156,Trevor Siemian,QB,2021,passing_tds,1.8333,0.7528,1.25,2.0,2.0
00-0032156,Trevor Siemian,QB,2023,attempts,30.6,15.7258,20.0,26.0,45.0
00-0032156,Trevor Siemian,QB,2023,passing_yards,144.8,89.0657,70.0,110.0,217.0
00-0032156,Trevor Siemian,QB,2023,passing_tds,0.4,0.5477,0.0,0.0,1.0
