attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,21.0,345.0,1.9,66.9,00-0034272,Marquez Valdes-Scantling,WR,KC,30.0,0.93,High,20,8,79.9,-13.0,13.0,-16.3
,,0.0,0.0,0.0,0.0,0.0,0.0,92.0,57.0,778.0,5.9,170.2,00-0034348,Courtland Sutton,WR,DEN,29.0,0.98,High,16,17,252.8,-82.60000000000002,82.60000000000002,-32.7
,,0.0,0.0,0.0,0.0,0.0,0.0,102.0,75.0,826.0,4.6,185.2,00-0034351,Dallas Goedert,TE,PHI,30.0,1.0,High,15,14,149.4,35.79999999999998,35.79999999999998,24.0
,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,140.0,0.7,31.2,00-0034364,Jordan Akins,TE,CLE,32.0,0.92,Medium,13,16,91.0,-59.8,59.8,-65.7
,,0.0,0.0,0.0,0.0,0.0,0.0,87.0,59.0,626.0,5.7,155.8,00-0034383,Dalton Schultz,TE,HOU,28.0,1.02,High,17,19,132.8,23.0,23.0,17.3
,,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,466.0,2.3,88.4,00-0034386,Justin Watson,WR,KC,28.0,1.02,High,19,17,66.9,21.5,21.5,32.1
,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,27.0,293.0,0.3,58.1,00-0034407,Ray-Ray McCloud,WR,SF,28.0,1.02,Medium,9,17,142.5,-84.4,84.4,-59.2
,,0.0,0.0,0.0,0.0,0.0,0.0,64.0,39.0,502.0,3.9,112.6,00-0034418,Cedrick Wilson Jr.,WR,MIA,29.0,0.98,Medium,12,10,51.94,60.66,60.66,116.8
,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,26.0,264.0,1.8,63.2,00-0034487,Trent Sherfield,WR,BUF,29.0,0.98,Medium,10,9,25.1,38.1,38.1,151.8
,,0.0,0.0,0.0,0.0,0.0,0.0,64.0,36.0,484.0,3.2,103.6,00-0034521,Allen Lazard,WR,NYJ,29.0,0.98,Medium,13,12,126.0,-22.400000000000006,22.400000000000006,-17.8
,,0.0,0.0,0.0,0.0,0.0,0.0,61.0,45.0,445.0,0.9,94.9,00-0034613,Tanner Hudson,TE,CIN,30.0,1.0,Medium,12,9,38.5,56.400000000000006,56.400000000000006,146.5
