attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_te_premium,player_id,player_name,position,team,age,age_multiplier,scenario,season_proj,model,projection_confidence,games_recent,returning_from_injury
,,0.0,0.0,0.0,0.0,0.0,0.0,105.0,73.0,821.0,6.3,119.9,156.4,192.9,229.4,00-0036970,Kyle Pitts,TE,ATL,26,0.98,bull,2026,weighted_v1,High,17,False
510.0,315.0,3630.0,23.2,11.4,70.0,316.0,7.0,0.0,0.0,0.0,0.0,288.8,288.8,288.8,288.8,00-0036971,Trevor Lawrence,QB,JAX,27,1.0,bear,2026,weighted_v1,High,17,False
527.0,325.0,3751.0,24.0,11.8,70.0,316.0,7.0,0.0,0.0,0.0,0.0,296.0,296.0,296.0,296.0,00-0036971,Trevor Lawrence,QB,JAX,27,1.0,base,2026,weighted_v1,High,17,False
629.0,388.0,4477.0,28.6,14.1,70.0,316.0,7.0,0.0,0.0,0.0,0.0,338.9,338.9,338.9,338.9,00-0036971,Trevor Lawrence,QB,JAX,27,1.0,bull,2026,weighted_v1,High,17,False
250.0,169.0,1744.0,9.6,6.4,51.0,118.0,0.5,0.0,0.0,0.0,0.0,110.2,110.2,110.2,110.2,00-0036972,Mac Jones,QB,SF,28,1.02,bear,2026,weighted_v1,Medium,11,False
528.0,357.0,3677.0,20.3,13.4,51.0,118.0,0.5,0.0,0.0,0.0,0.0,216.3,216.3,216.3,216.3,00-0036972,Mac Jones,QB,SF,28,1.02,base,2026,weighted_v1,Medium,11,False
625.0,422.0,4353.0,24.0,15.9,51.0,118.0,0.5,0.0,0.0,0.0,0.0,253.1,253.1,253.1,253.1,00-0036972,Mac Jones,QB,SF,28,1.02,bull,2026,weighted_v1,Medium,11,False
,,0.0,0.0,0.0,175.0,725.0,4.6,29.0,21.0,164.0,0.9,121.9,132.4,142.9,142.9,00-0036973,Travis Etienne,RB,JAX,28,0.86,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,234.0,966.0,6.1,33.0,24.0,184.0,1.3,159.4,171.4,183.4,183.4,00-0036973,Travis Etienne,RB,JAX,28,0.86,base,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,249.0,1027.0,6.5,41.0,30.0,230.0,1.8,175.5,190.5,205.5,205.5,00-0036973,Travis Etienne,RB,JAX,28,0.86,bull,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,150.0,0.8,19.8,26.8,33.8,33.8,00-0036980,Elijah Moore,WR,BUF,26,1.02,bear,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,169.0,1.3,24.7,32.7,40.7,40.7,00-0036980,Elijah Moore,WR,BUF,26,1.02,base,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,215.0,1.7,31.7,41.7,51.7,51.7,00-0036980,Elijah Moore,WR,BUF,26,1.02,bull,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,341.0,1.3,41.9,53.9,65.9,65.9,00-0036988,Josh Palmer,WR,BUF,27,1.03,bear,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,287.0,1.6,38.3,48.3,58.3,58.3,00-0036988,Josh Palmer,WR,BUF,27,1.03,base,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,330.0,1.9,44.4,56.4,68.4,68.4,00-0036988,Josh Palmer,WR,BUF,27,1.03,bull,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,221.0,978.0,7.8,43.0,31.0,154.0,1.0,166.0,181.5,197.0,197.0,00-0036997,Javonte Williams,RB,DAL,26,1.0,bear,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,264.0,1166.0,9.3,46.0,33.0,167.0,1.5,198.1,214.6,231.1,231.1,00-0036997,Javonte Williams,RB,DAL,26,1.0,base,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,310.0,1373.0,10.9,49.0,35.0,179.0,2.0,232.6,250.1,267.6,267.6,00-0036997,Javonte Williams,RB,DAL,26,1.0,bull,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,67.0,0.4,9.1,11.6,14.1,14.1,00-0036999,Anthony Schwartz,WR,CLE,26,1.02,bear,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,48.0,0.4,7.2,8.7,10.2,10.2,00-0036999,Anthony Schwartz,WR,CLE,26,1.02,base,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,41.0,0.4,6.5,8.0,9.5,9.5,00-0036999,Anthony Schwartz,WR,CLE,26,1.02,bull,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,176.0,2.7,33.8,45.8,57.8,69.8,00-0037004,Hunter Long,TE,JAX,28,1.02,bear,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,185.0,3.8,41.3,53.8,66.3,78.8,00-0037004,Hunter Long,TE,JAX,28,1.02,base,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,174.0,3.8,40.2,52.2,64.2,76.2,00-0037004,Hunter Long,TE,JAX,28,1.02,bull,2026,weighted_v1,Low,7,False
,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,146.0,1.0,20.6,28.6,36.6,44.6,00-0037005,Tommy Tremble,TE,CAR,26,0.98,bear,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,222.0,2.0,34.2,46.2,58.2,70.2,00-0037005,Tommy Tremble,TE,CAR,26,0.98,base,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,31.0,287.0,3.5,49.7,65.2,80.7,96.2,00-0037005,Tommy Tremble,TE,CAR,26,0.98,bull,2026,weighted_v1,High,15,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,53.0,0.2,6.5,8.5,10.5,12.5,00-0037078,Cole Turner,TE,WAS,26,0.98,bear,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,43.0,0.2,5.5,7.5,9.5,11.5,00-0037078,Cole Turner,TE,WAS,26,0.98,base,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,34.0,0.2,4.6,6.1,7.6,9.1,00-0037078,Cole Turner,TE,WAS,26,0.98,bull,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,80.0,0.4,10.4,16.9,23.4,23.4,00-0037085,Tyler Badie,RB,DEN,28,0.86,bear,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,117.0,0.9,17.1,26.6,36.1,36.1,00-0037085,Tyler Badie,RB,DEN,28,0.86,base,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,4.0,23.0,0.0,23.0,16.0,99.0,1.0,18.2,26.2,34.2,34.2,00-0037085,Tyler Badie,RB,DEN,28,0.86,bull,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,169.0,1.1,23.5,31.5,39.5,47.5,00-0037086,Grant Calcaterra,TE,PHI,28,1.02,bear,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,124.0,1.1,19.0,25.0,31.0,37.0,00-0037086,Grant Calcaterra,TE,PHI,28,1.02,base,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,185.0,1.9,29.9,38.9,47.9,56.9,00-0037086,Grant Calcaterra,TE,PHI,28,1.02,bull,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,152.0,0.3,17.0,20.5,24.0,24.0,00-0037093,Dareke Young,WR,SEA,27,1.03,bear,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,109.0,0.3,12.7,15.2,17.7,17.7,00-0037093,Dareke Young,WR,SEA,27,1.03,base,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,223.0,0.6,25.9,30.9,35.9,35.9,00-0037093,Dareke Young,WR,SEA,27,1.03,bull,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,48.0,35.0,302.0,3.1,48.8,66.3,83.8,101.3,00-0037112,Jake Tonges,TE,SF,27,1.01,bear,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,61.0,44.0,384.0,5.1,69.0,91.0,113.0,135.0,00-0037112,Jake Tonges,TE,SF,27,1.01,base,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,71.0,51.0,443.0,8.0,92.3,117.8,143.3,168.8,00-0037112,Jake Tonges,TE,SF,27,1.01,bull,2026,weighted_v1,Medium,10,False
,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,47.0,0.3,6.5,9.5,12.5,12.5,00-0037132,Britain Covey,WR,PHI,29,0.98,bear,2026,weighted_v1,Low,6,False
,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,34.0,0.3,5.2,7.7,10.2,10.2,00-0037132,Britain Covey,WR,PHI,29,0.98,base,2026,weighted_v1,Low,6,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,30.0,0.3,4.8,6.8,8.8,8.8,00-0037132,Britain Covey,WR,PHI,29,0.98,bull,2026,weighted_v1,Low,6,False
,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.3,1.8,1.8,1.8,1.8,00-0037156,Irvin Charles,WR,NYJ,29,0.98,bear,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.3,1.8,1.8,1.8,1.8,00-0037156,Irvin Charles,WR,NYJ,29,0.98,base,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.3,1.8,1.8,1.8,1.8,00-0037156,Irvin Charles,WR,NYJ,29,0.98,bull,2026,weighted_v1,Medium,8,False
,,0.0,0.0,0.0,61.0,205.0,2.6,18.0,13.0,95.0,0.4,48.0,54.5,61.0,61.0,00-0037157,Bam Knight,RB,ARI,25,1.02,bear,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,127.0,426.0,5.3,35.0,26.0,189.0,1.1,99.9,112.9,125.9,125.9,00-0037157,Bam Knight,RB,ARI,25,1.02,base,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,158.0,531.0,6.6,41.0,30.0,223.0,1.8,125.8,140.8,155.8,155.8,00-0037157,Bam Knight,RB,ARI,25,1.02,bull,2026,weighted_v1,Medium,12,False
,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,79.0,0.2,9.1,12.6,16.1,19.6,00-0037168,Armani Rogers,TE,WAS,29,1.02,bear,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,64.0,0.2,7.6,10.1,12.6,15.1,00-0037168,Armani Rogers,TE,WAS,29,1.02,base,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,50.0,0.2,6.2,8.2,10.2,12.2,00-0037168,Armani Rogers,TE,WAS,29,1.02,bull,2026,weighted_v1,Medium,9,False
,,0.0,0.0,0.0,95.0,384.0,1.4,4.0,2.0,15.0,0.1,48.9,49.9,50.9,50.9,00-0037197,Isiah Pacheco,RB,KC,28,0.86,bear,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,119.0,478.0,1.8,24.0,18.0,108.0,0.8,74.2,83.2,92.2,92.2,00-0037197,Isiah Pacheco,RB,KC,28,0.86,base,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,142.0,572.0,2.1,27.0,20.0,120.0,1.1,88.4,98.4,108.4,108.4,00-0037197,Isiah Pacheco,RB,KC,28,0.86,bull,2026,weighted_v1,Medium,13,False
,,0.0,0.0,0.0,161.0,735.0,3.9,31.0,27.0,209.0,0.9,123.2,136.7,150.2,150.2,00-0037228,Jaylen Warren,RB,PIT,28,0.86,bear,2026,weighted_v1,High,16,False
